Theme,Theme,Максимум JaccardIndex,Main theme
The Return of the King,Star Wars Episode 4/5/6,0.25219941348973607,The Lord of the Rings
The Battle of the Five Armies,Batman,0.2511904761904762,The Hobbit
Avatar,Teenage Mutant Ninja Turtles,0.25101214574898784,
Ultimate Collector Series,Star Wars Episode 1,0.2508710801393728,Star Wars
Dimensions,Batman,0.25058823529411767,
Dimensions,Star Wars,0.2503259452411995,
An Unexpected Journey,Ninjago,0.24970828471411902,The Hobbit
Iron Man,Star Wars Episode 1,0.24871355060034306,Super Heroes
An Unexpected Journey,Batman,0.24821852731591448,The Hobbit
Superman,Star Wars Episode 4/5/6,0.24820659971305595,Super Heroes
Chamber of Secrets,The LEGO Movie,0.24793388429752067,Harry Potter
X-Men,Avengers,0.24696356275303644,Super Heroes
Dimensions,Ninjago,0.24626006904487918,
Superman,Batman,0.2452153110047847,Super Heroes
Avatar,Star Wars Episode 3,0.24344569288389514,
Superman,Star Wars,0.2427055702917772,Super Heroes
The Fellowship of the Ring,Star Wars Clone Wars,0.24208860759493672,The Lord of the Rings
Pharaoh's Quest,Star Wars,0.24178712220762155,
Pharaoh's Quest,Batman,0.24142011834319527,
Dimensions,Star Wars Episode 4/5/6,0.24061196105702365,
Ultimate Collector Series,Star Wars Clone Wars,0.2403225806451613,Star Wars
The Desolation of Smaug,Star Wars Episode 4/5/6,0.24011713030746706,The Hobbit
Ultimate Collector Series,The LEGO Movie,0.2391681109185442,Star Wars
Prisoner of Azkaban,Star Wars Episode 4/5/6,0.2384393063583815,Harry Potter
The Return of the King,Star Wars,0.23790322580645162,The Lord of the Rings
Iron Man,Star Wars Clone Wars,0.2365079365079365,Super Heroes
Avatar,Star Wars Episode 2,0.23626373626373626,
Goblet of Fire,Star Wars Clone Wars,0.2358490566037736,Harry Potter
Pharaoh's Quest,Ninjago,0.23583815028901733,
Ghostbusters,Super Heroes,0.23370786516853934,
Chamber of Secrets,Star Wars Clone Wars,0.23323170731707318,Harry Potter
Star Wars Episode 3,Star Wars Episode 3,0.23210831721470018,Ultimate Collector Series
Star Wars Episode 2,Star Wars Episode 3,0.23196881091617932,Ultimate Collector Series
The Desolation of Smaug,Star Wars,0.23180592991913745,The Hobbit
Star Wars Episode 2,Avengers,0.22874493927125505,Ultimate Collector Series
Goblet of Fire,Star Wars Episode 4/5/6,0.22861356932153393,Harry Potter
Chamber of Secrets,Star Wars Episode 4/5/6,0.22812051649928264,Harry Potter
The Fellowship of the Ring,Star Wars Episode 4/5/6,0.22713864306784662,The Lord of the Rings
